Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/2/25,24.01250076,24.19000053,23.8125,24.19000053,22.11368179,110330800,up,up,up,up,up
2016/2/26,24.29999924,24.50499916,24.14500046,24.22750092,22.14796829,115964400,up,up,up,up,up
2016/2/29,24.21500015,24.55750084,24.16250038,24.17250061,22.09769249,140865200,down,up,up,down,down
2016/3/1,24.41250038,25.19249916,24.35499954,25.13249969,22.9752903,201628400,up,up,up,up,up
2016/3/2,25.12750053,25.22249985,24.90999985,25.1875,23.02556229,132678400,up,up,up,up,up
2016/3/3,25.14500046,25.42749977,25.11249924,25.375,23.1969738,147822800,up,up,up,up,up
2016/3/4,25.59250069,25.9375,25.34250069,25.75250053,23.5420742,184220400,up,up,up,up,up
2016/3/7,25.59749985,25.70750046,25.23999977,25.46750069,23.28153801,143315600,up,down,down,down,down
2016/3/8,25.19499969,25.44000053,25.10000038,25.25749969,23.08955956,126247600,down,down,down,down,down
2016/3/9,25.32749939,25.39500046,25.06749916,25.28000069,23.11013222,108806800,up,down,down,up,up
2016/3/10,25.35250092,25.55999947,25.03750038,25.29249954,23.12155342,134054400,up,up,down,up,up
2016/3/11,25.55999947,25.56999969,25.375,25.56500053,23.37066269,109632800,up,up,up,up,up
2016/3/14,25.47750092,25.72750092,25.44499969,25.62999916,23.43008041,100304400,down,up,up,up,up
2016/3/15,25.98999977,26.29500008,25.96249962,26.14500046,23.90088272,160270800,up,up,up,up,up
2016/3/16,26.15250015,26.57749939,26.14749908,26.49250031,24.21856117,153214000,up,up,up,up,up
2016/3/17,26.37999916,26.61750031,26.23999977,26.45000076,24.17970657,137682800,up,up,up,down,down
2016/3/18,26.58499908,26.625,26.29750061,26.47999954,24.20713425,176820800,up,up,up,up,up
2016/3/21,26.48250008,26.91250038,26.28499985,26.47750092,24.20484734,142010800,down,up,down,down,down
2016/3/22,26.3125,26.82250023,26.30249977,26.68000031,24.38996506,129777600,down,down,up,up,up
2016/3/23,26.62000084,26.76749992,26.47500038,26.53249931,24.25512505,102814000,up,down,up,down,down
2016/3/24,26.36750031,26.5625,26.22249985,26.41749954,24.14999771,104532000,down,down,down,down,down
2016/3/28,26.5,26.54750061,26.26499939,26.29750061,24.04029274,77645600,up,down,up,down,down
2016/3/29,26.22249985,26.94750023,26.21999931,26.92000008,24.60936165,124760400,down,up,down,up,up
2016/3/30,27.16250038,27.60499954,27.14999962,27.38999939,25.03902054,182404400,up,up,up,up,up
2016/3/31,27.43000031,27.47500038,27.21999931,27.24749947,24.90875244,103553600,up,down,up,down,down
2016/4/1,27.19499969,27.5,27.04999924,27.49749947,25.13729477,103496000,down,up,down,up,up
2016/4/4,27.60499954,28.04750061,27.56749916,27.78000069,25.39554977,149424800,up,up,up,up,up
2016/4/5,27.37750053,27.68250084,27.35499954,27.45249939,25.09615707,106314800,down,down,down,down,down
2016/4/6,27.55750084,27.74500084,27.29999924,27.73999977,25.35898018,105616400,up,up,down,up,up
2016/4/7,27.48749924,27.60499954,27.03000069,27.13500023,24.8059082,127207600,down,down,down,down,down
2016/4/8,27.22750092,27.44249916,27.04249954,27.16500092,24.83333015,94326800,down,down,up,up,up
2016/4/11,27.24250031,27.65250015,27.20750046,27.25499916,24.91561317,117630000,up,up,up,up,up
2016/4/12,27.33499908,27.625,27.16500092,27.61000061,25.24013901,108929200,up,down,down,up,up
2016/4/13,27.70000076,28.08499908,27.70000076,28.01000023,25.60580635,133029200,up,up,up,up,up
2016/4/14,27.90500069,28.09749985,27.83250046,28.02499962,25.61951828,101895600,up,up,up,up,up
2016/4/15,28.02750015,28.07500076,27.43250084,27.46249962,25.10529709,187756000,up,down,down,down,down
2016/4/18,27.22249985,27.23749924,26.73500061,26.87000084,24.56364822,243286000,down,down,down,down,down
2016/4/19,26.96999931,27,26.55750084,26.72750092,24.43338776,129539600,down,down,down,down,down
2016/4/20,26.65999985,27.02249908,26.51499939,26.78249931,24.48366356,122444000,down,up,down,up,up
2016/4/21,26.73250008,26.73250008,26.37999916,26.49250031,24.21856117,126210000,up,down,down,down,down
2016/4/22,26.25250053,26.62000084,26.15500069,26.42000008,24.15228081,134732400,down,down,down,down,down
2016/4/25,26.25,26.41250038,26.12750053,26.27000046,24.01515579,112126400,down,down,down,down,down
2016/4/26,25.97750092,26.32500076,25.97750092,26.08749962,23.84831619,224064800,down,down,down,down,down
2016/4/27,24,24.67749977,23.92000008,24.45499992,22.35594368,458408400,down,down,down,down,down
2016/4/28,24.40250015,24.46999931,23.5625,23.70750046,21.6726017,328970800,up,down,down,down,down
2016/4/29,23.49749947,23.68000031,23.12750053,23.43499947,21.42349434,274126000,down,down,down,down,down
